team,location,stadium,capacity,manager,captain,kit,shirt sponsor,sleeve sponsor
Arsenal,London (Holloway),Emirates Stadium,60704,Mikel Arteta,Alexandre Lacazettea,Adidas,Emirates,Visit Rwanda
Aston Villa,Birmingham,Villa Park,42682,Steven Gerrard,Tyrone Mings,Kappa,Cazoo,OB Sports
Brentford,London (Brentford),Brentford Community Stadium,17250,Thomas Frank,Pontus Jansson,Umbro,Hollywoodbets,Safetyculture
Brighton & Hove Albion,Falmer,Falmer Stadium,31800,Graham Potter,Lewis Dunk,Nike,American Express,SnickersUK.com
Burnley,Burnley,Turf Moor,21944,Mike Jackson Connor King Ben Mee (joint-caretakers),Ben Mee,Umbro,Spreadex Sports,AstroPay
Chelsea,London (Fulham),Stamford Bridge,40834,Thomas Tuchel,César Azpilicueta,Nike,Threec ,Hyundaic 
Crystal Palace,London (Selhurst),Selhurst Park,25486,Patrick Vieira,Luka Milivojević,Puma,W88,Facebank
Everton,Liverpool (Walton),Goodison Park,39414,Frank Lampard,Séamus Coleman,Hummel,Cazoo,None
Leeds United,Leeds,Elland Road,37792,Jesse Marsch,Liam Cooper,Adidas,SBOTOP,BOXT
Leicester City,Leicester,King Power Stadium,32312,Brendan Rodgers,Kasper Schmeichel,Adidas,FBS,Bia Saigon
Liverpool,Liverpool (Anfield),Anfield,53394,Jürgen Klopp,Jordan Henderson,Nike,Standard Chartered,Expedia
Manchester City,Manchester (Bradford),Etihad Stadium,53400,Pep Guardiola,Fernandinho,Puma,Etihad Airways,Nexen Tire
Manchester United,Manchester (Old Trafford),Old Trafford,74140,Ralf Rangnick (interim),Harry Maguire,Adidas,TeamViewer,Kohler
Newcastle United,Newcastle upon Tyne,St James' Park,52305,Eddie Howe,Jamaal Lascelles,Castore,FUN88,Kayak
Norwich City,Norwich,Carrow Road,27244,Dean Smith,Grant Hanley,Joma,Lotus Cars,JD Sports
Southampton,Southampton,St Mary's Stadium,32384,Ralph Hasenhüttl,James Ward-Prowse,Hummel,Sportsbet.io,Virgin Media
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850,Antonio Conte,Hugo Lloris,Nike,AIA,Cinch
Watford,Watford,Vicarage Road,22200,Roy Hodgson,TBDb,Kelme,Stake.com,Dogecoin
West Ham United,London (Stratford),London Stadium,60000,David Moyes,Mark Noble,Umbro,Betway,Scope Markets
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050,Bruno Lage,Conor Coady,Castore,ManBetX,Bitci.com
