team,location,stadium,capacity
Arsenal,London (Holloway),Emirates Stadium,60704
Aston Villa,Birmingham,Villa Park,42682
Brighton & Hove Albion,Falmer,Falmer Stadium,30750
Burnley,Burnley,Turf Moor,"21,944"
Chelsea,London (Fulham),Stamford Bridge,40834
Crystal Palace,London (Selhurst),Selhurst Park,25486
Everton,Liverpool (Walton),Goodison Park,39414
Fulham,London (Fulham),Craven Cottage,19359
Leeds United,Leeds,Elland Road,37792
Leicester City,Leicester,King Power Stadium,32261
Liverpool,Liverpool (Anfield),Anfield,53394
Manchester City,Manchester (Bradford),City of Manchester Stadium,55017
Manchester United,Manchester (Old Trafford),Old Trafford,74140
Newcastle United,Newcastle upon Tyne,St James' Park,52305
Sheffield United,Sheffield,Bramall Lane,32050
Southampton,Southampton,St Mary's Stadium,32384
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62303
West Bromwich Albion,West Bromwich,The Hawthorns,26688
West Ham United,London (Stratford),London Stadium,60000
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050
